Time (s),Current (A)
6.26853768801865e-07,-0.174896267569984
8.91222388955592e-06,-0.166461922951834
1.98025127558912e-05,-0.16134937435167
2.92518431598885e-05,-0.153925624134776
3.95692283639335e-05,-0.158702184223418
4.99468294212168e-05,-0.156951249367966
5.92612599861769e-05,-0.150264926851488
7.2774402703306e-05,-0.146951299482127
8.1260500908358e-05,-0.138184847123295
9.25196926356426e-05,-0.144369116831634
9.89928273094885e-05,-0.131324675992318
0.000109806678115477,-0.135768231524652
0.000119700390645674,-0.128514555821388
0.000129248020230634,-0.12897819688893
0.000137421775231587,-0.126686553360565
0.000150197833021417,-0.124248005936711
0.000160014328088955,-0.124047199994699
0.000170419713243485,-0.109794358232242
0.000181127031765399,-0.105756415713604
0.0001902879959146,-0.0949319823282786
0.00020154087452304,-0.0956013206730442
0.000209489298998518,-0.09644378627383
0.000220946050956616,-0.0859369993614
0.000230413161308767,-0.0754560094866518
0.000239733414231807,-0.0799663725218429
0.000249066453558026,-0.0787350625202357
0.000260156397698045,-0.0671087381231677
0.000271962849963727,-0.067172982660694
0.000280338752770048,-0.0551762091217888
0.000291238375167977,-0.0555510972726012
0.000300945804617353,-0.051306788342125
0.000309680531646218,-0.042580240905443
0.000318159668395705,-0.0349492247921937
0.000331660560243842,-0.0272883708008381
0.000338799017905756,-0.0269970210822155
0.000349020498421246,-0.0276306043449503
0.00035945506906971,-0.0110845513558741
0.000367780589531114,-0.00544175341982271
0.000381884588361317,0.00381728625385819
0.000389833094469903,0.0115167130386856
0.000397655132518874,0.0129195417160396
0.000409707710329001,0.0229519720347138
0.00042009431841517,0.0115643895187701
0.000431034273183258,0.0181844950330948
0.000437466460341515,0.0244176731469783
0.000451229062799827,0.0318276122396893
0.000461108869911624,0.0470947219576717
0.000470630265777332,0.0560788794835073
0.000480902708532724,0.0516832262440408
0.000491674707925264,0.0607514290154142
0.000500653974151081,0.0687942965600377
0.000508550089327441,0.0683347273467498
0.00052065882325572,0.0737818330320426
0.00052986193574241,0.0748229722830044
0.000540096898123039,0.0872759210755581
0.000549536387464002,0.0921487948778012
0.000559801828306273,0.0874535273769683
0.000570037788564091,0.0965261152016644
0.000578433659014914,0.105398023477433
0.000591202965314008,0.109060915515645
0.000598583179551077,0.11213415063691
0.00061065437227784,0.119886012804665
0.0006212547438339,0.120474952161262
0.000630655141090727,0.127395652523541
0.000639184851308811,0.128129330718927
0.000650561901226101,0.13558366126351
0.000659903470837623,0.140416196741195
0.000669169573699186,0.141559991549798
0.000677156776303954,0.147744359458266
0.000689362324052716,0.137259067837703
0.000701277465662953,0.155459326373824
0.000709793386925838,0.156656663922815
0.000720399922443089,0.15790262853507
0.000729320050899811,0.157678890046471
0.000740195942382633,0.166902333382938
0.000749870813799109,0.177304337994454
0.000760455134730301,0.168478744348172
0.000769676803219709,0.173837385396409
0.000778241856188876,0.168380415704287
0.000791657525876578,0.164288334232114
0.000800072405349898,0.175510455310245
0.000811561688154757,0.173614594351758
0.000821644890089072,0.177812858869366
0.000828727619687606,0.177121346517773
0.000839830241362052,0.172325346309824
0.000849991198305519,0.17971939177493
0.000860625416981797,0.181082260207404
0.000870169053575404,0.177829101049976
0.000880461286929754,0.182303269541645
0.000891298007901602,0.182494123244434
0.000899870700751355,0.170515304109141
0.000910425316181919,0.1776454427574
0.000920689678018856,0.17138266704019
0.000929280118954323,0.180786684609816
0.000940025002633855,0.179259452313764
0.000948808921227057,0.173759436211916
0.000957909712087343,0.170138964280654
0.000970406920949816,0.179444030899039
0.000980717928795728,0.166318025411482
0.000990758225330069,0.168006868457782
0.00100103394437586,0.172204824547407
0.00100988648127633,0.163586067355324
0.0010200444489411,0.171493380310257
0.00102963457170824,0.158448972118587
0.00104049831296603,0.158080113475902
0.00105147562110896,0.149733977005218
0.00106092369971827,0.155742853781423
0.00107031976932664,0.146968130191906
0.00108238419185433,0.141155540128804
0.00109167622540986,0.137321370240114
0.00109881803507272,0.138538432169949
0.00111108671017459,0.135584347446578
0.0011199246901249,0.13644822678242
0.00113042081683146,0.124545472662067
0.0011399479837135,0.119252982739556
0.00114945793189173,0.122175433522146
0.0011589322580352,0.11417706461114
0.00116776513140482,0.117011930194632
0.00118077676778397,0.106429999423169
0.00118848769040415,0.107870652867785
0.00120076110441721,0.0998755664003908
0.00120983138078742,0.0905689885321471
0.00122009258430176,0.0963554965972766
0.00122966420062334,0.082876648140999
0.00124114229691302,0.0762228810612277
0.00125119052772723,0.0715602864254532
0.00126076995262898,0.0740482650364026
0.00126996032420234,0.0622101538422176
0.00128084635202126,0.0613313369279496
0.00128870680936579,0.053108192894244
0.0013013156406978,0.0532539099382769
0.00130919495628086,0.0359677995033154
0.00132061500454356,0.0363367170166288
0.00132897472318439,0.036684604811727
0.00133957469597236,0.0267419337308252
0.00134952068324607,0.0196082736165485
0.00135908098763511,0.0149140080093731
0.00137052653004641,0.0143044088589874
0.00138016048202072,-0.00566135792499755
0.00138995212191796,-0.0032877541754451
